baby,dclm-1.0,,,,,,
flag,fineopus-filtered-0.4,eng_Latn-isl_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ita_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-lav_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-lit_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ltg_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-lvs_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-mkd_Cyrl,,,,,
flag,fineopus-filtered-0.4,eng_Latn-mlt_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-nld_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-nno_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-nob_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-pol_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-por_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ron_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-slk_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-slv_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-spa_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-srp_Cyrl,,,,,
flag,fineopus-filtered-0.4,eng_Latn-srp_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-swe_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-tur_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ukr_Cyrl,,,,,
flag,finepdfs-1.0.0,als_Latn,pdf,,,,
flag,finepdfs-1.0.0,bos_Latn,pdf,,,,
flag,finepdfs-1.0.0,bul_Cyrl,pdf,,,,
flag,finepdfs-1.0.0,cat_Latn,pdf,,,,
flag,finepdfs-1.0.0,ces_Latn,pdf,,,,
flag,finepdfs-1.0.0,dan_Latn,pdf,,,,
flag,finepdfs-1.0.0,deu_Latn,pdf,,,,
flag,finepdfs-1.0.0,ekk_Latn,pdf,,,,
flag,finepdfs-1.0.0,ell_Grek,pdf,,,,
flag,finepdfs-1.0.0,eus_Latn,pdf,,,,
flag,finepdfs-1.0.0,fin_Latn,pdf,,,,
flag,finepdfs-1.0.0,fra_Latn,pdf,,,,
flag,finepdfs-1.0.0,gle_Latn,pdf,gle_Latn,790651129.987535,2.62933623778559,
flag,finepdfs-1.0.0,glg_Latn,pdf,,,,
flag,finepdfs-1.0.0,hrv_Latn,pdf,,,,
flag,finepdfs-1.0.0,hun_Latn,pdf,,,,
flag,finepdfs-1.0.0,isl_Latn,pdf,,,,
flag,finepdfs-1.0.0,ita_Latn,pdf,,,,
flag,finepdfs-1.0.0,lit_Latn,pdf,,,,
flag,finepdfs-1.0.0,lvs_Latn,pdf,,,,
flag,finepdfs-1.0.0,mkd_Cyrl,pdf,,,,
flag,finepdfs-1.0.0,mlt_Latn,pdf,mlt_Latn,205016134.545486,0.277900251493335,
flag,finepdfs-1.0.0,nld_Latn,pdf,,,,
flag,finepdfs-1.0.0,nno_Latn,pdf,nno_Latn,323453395.249642,0.948891671103998,
flag,finepdfs-1.0.0,nob_Latn,pdf,,,,
flag,finepdfs-1.0.0,pol_Latn,pdf,,,,
flag,finepdfs-1.0.0,por_Latn,pdf,,,,
flag,finepdfs-1.0.0,ron_Latn,pdf,,,,
flag,finepdfs-1.0.0,slk_Latn,pdf,,,,
flag,finepdfs-1.0.0,slv_Latn,pdf,,,,
flag,finepdfs-1.0.0,spa_Latn,pdf,,,,
flag,finepdfs-1.0.0,srp_Cyrl,pdf,,,,
flag,finepdfs-1.0.0,swe_Latn,pdf,,,,
flag,finepdfs-1.0.0,tur_Latn,pdf,,,,
flag,finepdfs-1.0.0,ukr_Cyrl,pdf,,,,
flag,finepdfs-edu-1.0.0,als_Latn,pdf,als_Latn,888828008.711148,1.88178566599587,
flag,finepdfs-edu-1.0.0,bos_Latn,pdf,bos_Latn,956897311.29286,0.974471777267722,
flag,finepdfs-edu-1.0.0,bul_Cyrl,pdf,bul_Cyrl,1259936610.28642,1.01139673838808,
